"","CompGroup.x.","BaseGroup.Y.","NumSamplesInCompGrp","NumSamplesInBaseGrp","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanX","MeanY","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"227238_at|MUC15","EGradeIII-IV","EGradeI-II",16,6,2.52380844774028,3.14799568822812,15.4073961700862,0.00645756926094721,0.433368938789007,2.23783589454433,4.40521725,3.06961483333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"231223_at|CSMD1","EGradeIII-IV","EGradeI-II",16,6,1.57381981212067,3.11939197347952,16.3700342638994,0.00646400862093302,0.210450701873804,1.0980900481262,3.118736375,2.464466,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"213017_at|ABHD3","EGradeIII-IV","EGradeI-II",16,6,1.65743231788349,3.03629046845076,19.1680429807458,0.00674447675333957,0.226756569006646,1.23114334766002,9.152494125,8.42354416666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"203124_s_at|SLC11A2","EGradeIII-IV","EGradeI-II",16,6,1.71999609757997,3.09647560145822,16.2904337319616,0.00681553750431958,0.247531040058808,1.31727954327453,8.578678125,7.79627283333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"224224_s_at|PDE11A","EGradeIII-IV","EGradeI-II",16,6,1.99806999706911,3.02636092853757,19.2359645096275,0.00687573789871141,0.308545755892901,1.6886684941071,3.880365625,2.8817585,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"219008_at|LDAH","EGradeIII-IV","EGradeI-II",16,6,1.56722198572929,3.24621753981622,11.8129718899947,0.00713877705810842,0.2123757647077,1.08404331862563,6.632938375,5.98472883333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"205779_at|RAMP2","EGradeIII-IV","EGradeI-II",16,6,-1.61598397975242,-3.30043468827205,10.8483012476975,0.00719998879076735,-1.15495639579217,-0.229869395874492,6.3081529375,7.00056583333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"239233_at|CCDC88A","EGradeIII-IV","EGradeI-II",16,6,1.51882192381948,3.01351235940184,18.4738494336649,0.00730693205314673,0.183365374524375,1.02254008380896,3.1437335625,2.54078083333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"226851_at|LYPLAL1","EGradeIII-IV","EGradeI-II",16,6,1.77688910466471,3.06271302576521,16.2438989212525,0.00733702636809466,0.256003106078632,1.40270418558803,9.0947413125,8.26538766666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"213067_at|MYH10","EGradeIII-IV","EGradeI-II",16,6,-2.10967948576982,-3.41109952783552,9.16524315330492,0.00753375044057851,-1.78932131884704,-0.364726347819632,5.389704,6.46672783333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"225355_at|NEURL1B","EGradeIII-IV","EGradeI-II",16,6,-1.55903877782485,-2.97997593349712,19.05666808967,0.00767761978999429,-1.09053973801932,-0.190773886980679,7.4373411875,8.077998,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"211372_s_at|IL1R2","EGradeIII-IV","EGradeI-II",16,6,1.92489755567936,3.10706540699437,13.9119413050773,0.00777257996984494,0.29221763913087,1.59734569420246,6.6855395,5.74075783333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"225240_s_at|MSI2","EGradeIII-IV","EGradeI-II",16,6,1.83100885832261,3.18835971332623,12.0293729120652,0.00777740442606506,0.276469597919737,1.46880794374693,7.9139514375,7.04131266666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"224045_x_at|LINC00470","EGradeIII-IV","EGradeI-II",16,6,1.65426310473205,3.04865292132225,15.5476801085116,0.00786187556586716,0.220030980460015,1.23234643620665,4.219006875,3.49281816666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"1570507_at|SCAF11","EGradeIII-IV","EGradeI-II",16,6,1.61493090178691,2.9856563165997,16.9822202894893,0.00831187935522252,0.202804109691438,1.18014076530856,4.1447049375,3.4532325,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"206627_s_at|SSX1","EGradeIII-IV","EGradeI-II",16,6,2.26309019384691,2.95231346570914,18.5417406092854,0.00833217880575888,0.341550359337201,2.01503780732947,3.83593675,2.65764266666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"201148_s_at|TIMP3","EGradeIII-IV","EGradeI-II",16,6,-1.5919619502164,-3.04345137484943,14.7431698550005,0.00834519490752742,-1.14131156296726,-0.200300145366067,7.6323488125,8.30315466666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"230281_at|C16orf46","EGradeIII-IV","EGradeI-II",16,6,1.70043732665002,3.18689571631565,11.0091044583078,0.00864577335281173,0.236996998602721,1.29481466806395,5.589494,4.82358816666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"227775_at|CELF6","EGradeIII-IV","EGradeI-II",16,6,1.6411542635039,2.91387757631444,19.6356401024277,0.00869569590004482,0.202460026130346,1.22696168220299,5.2458606875,4.53114983333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"235529_x_at|SAMHD1","EGradeIII-IV","EGradeI-II",16,6,-1.72743069845449,-3.01160397929026,15.0204639882336,0.00875243268166297,-1.34670951000296,-0.230546156663714,8.761852,9.55047983333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"238963_at|RBM18","EGradeIII-IV","EGradeI-II",16,6,1.60253510231881,2.9293385005713,18.3393176098584,0.00883365119038232,0.193050887205002,1.16766102946167,5.109688625,4.42933266666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"210685_s_at|UBE4B","EGradeIII-IV","EGradeI-II",16,6,1.55687788692801,2.92792807534802,18.3300784211911,0.00886416230436186,0.180981907052771,1.09632967628056,6.666552125,6.02789633333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"1558102_at|HDGFL3","EGradeIII-IV","EGradeI-II",16,6,-1.6042133145718,-3.51221646523065,7.46308482069323,0.00886622994760997,-1.13522515964148,-0.22850682396056,3.46684859914497,4.14871459094599,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"213882_at|TM2D1","EGradeIII-IV","EGradeI-II",16,6,1.63049057783667,2.99505630452666,15.2868073244923,0.00891327630041238,0.204189806333511,1.20642240199982,5.4361519375,4.73084583333333,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"203726_s_at|LAMA3","EGradeIII-IV","EGradeI-II",16,6,2.68750340643686,2.90146899472579,18.568248706815,0.00930155305846101,0.395783313827148,2.45674985283952,6.84572725,5.41946066666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"201149_s_at|TIMP3","EGradeIII-IV","EGradeI-II",16,6,-1.81234933139288,-3.03524104377719,13.1982362709766,0.00942712026404762,-1.46752284845635,-0.248199276543651,6.8923154375,7.7501765,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"1552862_at|RUSC1-AS1","EGradeIII-IV","EGradeI-II",16,6,1.52559684065869,2.90245524464911,17.9946855792474,0.00949697638291803,0.168273464973633,1.05047405723736,4.73548609608483,4.12611233497934,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"204332_s_at|AGA","EGradeIII-IV","EGradeI-II",16,6,1.51508425029947,2.86600881166146,19.816687562851,0.00961001410698275,0.162880088506812,1.03591595315986,8.5605396875,7.96114166666667,0,"two.sided","Welch Two Sample t-test",0.982170932390783
"234987_at|SAMHD1","EGradeIII-IV","EGradeI-II",16,6,-1.98753695816611,-2.96881506576321,14.8362918823398,0.0096522239788221,-1.70313761499267,-0.278825760007331,8.1869443125,9.177926,0,"two.sided","Welch Two Sample t-test",0.982170932390783
